what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1454608454630
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1454608455150
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1454608455189
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1454608455440
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1454608455483
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1454608455642
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1454608455677
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1454608455682
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1454608455811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608492239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608492289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608498621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608531154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608578605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608581373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1454608619188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608657245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608657268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608663238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608680122
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454608699360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608700719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608712119
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454608712570
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454608713071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454608724645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454608743711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454608751200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608801111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608929535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608932553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608971097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608973805
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454608976481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454608979547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454609004926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454609004976
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454609008196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454609022464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454609075657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454609111074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454609111386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454609113839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1454609158316
