what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456977918123
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456977918256
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456977922253
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456977922416
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456977977185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456977986724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978016064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978019588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978027694
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456978028605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456978028756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978036065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978043217
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1456978048300
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1456978048385
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1456978048427
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1456978048456
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1456978048469
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1456978048547
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1456978048559
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1456978048679
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1456978048684
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1456978049541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978049832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978052754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978059320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978071582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456978075382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978080704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978109045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978112185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978114704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978119565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978120828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978120999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978131212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978140323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978146355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456978148208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978159233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978169548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978174832
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1456978176318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456978176366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978180855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978184297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978185180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978201937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978207236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978208795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978216833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978266423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456978283821
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456978348886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978358902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978365525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978369980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978387132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978392446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978403634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978417552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978428700
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1456978442931
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1456978442970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978446180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978456622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978500098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978509257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978512231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456978515751
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1456978520587
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1456978520717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978523146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978539173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1456978539200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978659271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978667389
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456978668272
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456978668404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978678846
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1456978687007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978707915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978716579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978753691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978758373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456978763737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456978876451
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1456978878915
opened,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456978904291
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456978906187
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456978906315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978916648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978917306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978920130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456978937007
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456978937040
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456978937345
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456978979751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456978981654
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456978987754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979008624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979040000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456979040196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979130671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979652721
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456979652811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979655222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979835508
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456979836115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456979836216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979852672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979860302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1456979864262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979887364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979907330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979920710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979934910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456979946337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456979971564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456979972962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456980058233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456980065886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456980084927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456980101082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456980124915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456980140291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456980140457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456980162956
