what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375387189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456375391747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375393608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375406007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375428670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1456375434910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456375437152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375439465
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375444788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375447754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375450302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375450466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375450742
executed,command,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.convertAction",1456375450771
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1456375452145
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1456375456734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1456375456986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456375458738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375460784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375468505
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375484452
executed,command,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.shortcut.testngSuite.run",1456375486822
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456375488903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375497329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375498058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375500009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375538451
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456375539704
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456375539936
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456375544422
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1456375566122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456375568418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375581336
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375583156
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1456375583437
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375585679
executed,command,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.shortcut.testngSuite.run",1456375588218
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456375590272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375598891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375599527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375601365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375652538
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456375653888
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456375654139
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1456375658115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456375661096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456375668616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456375677412
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375678787
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1456375681489
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456375682076
executed,command,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.shortcut.testngSuite.run",1456375685094
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456375687162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375695419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375696097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375697889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456375754837
