what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1455789189462
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1455789189469
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1455789189471
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455789189472
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1455789189494
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455789189496
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1455789189498
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1455789189499
os,sysinfo,,,"win32",1455789189506
arch,sysinfo,,,"x86_64",1455789189506
ws,sysinfo,,,"win32",1455789189506
locale,sysinfo,,,"en_US",1455789189506
processors,sysinfo,,,"4",1455789189507
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455789189507
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1455789189507
java.specification.name,sysinfo,,,"Java Platform API Specification",1455789189507
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455789189507
java.specification.version,sysinfo,,,"1.7",1455789189507
java.vendor,sysinfo,,,"Oracle Corporation",1455789189507
java.version,sysinfo,,,"1.7.0_79",1455789189507
java.vm.info,sysinfo,,,"mixed mode",1455789189507
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455789189507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455789189507
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455789189507
java.vm.specification.version,sysinfo,,,"1.7",1455789189507
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455789189507
java.vm.version,sysinfo,,,"24.79-b02",1455789189507
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1455789189951
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1455789191600
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789243384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789243520
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1455789249293
