what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943959597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943966334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455943969882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943970674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943976614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455943981170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943981548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943987240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455943991040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455943992885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455943994612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944003903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455944016529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944022744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944154219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944162313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944166218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944184198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944200487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455944203075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944213073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1455944250155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455944256364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944434875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944440781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944495479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944548656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944552695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1455944575269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455944577915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1455944596620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455944599209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944603403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944650549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455944715631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944731024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944731147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455944763830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455944801602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455944814840
